Ayam segar,75,30000
Bayam,16,3500
Cabai merah,36,76650
Dodol bali,298,15000
Jagung kuning,355,12000
Ketan hitam,360,16500
Nasi putih,180,4000
Sagu aren,355,5000
Udang segar,91,65000
Ubi jalar manis,83,3000
Ikan patin segar,132,30000
